-1    1     110
-1    2     110
-1    3    -999
-1    4      80
-1    5      80
-1    6      80
-1    7      80
-1    8    -999
-1    9      80
-1   10      80
-1   11      80
-1   12      80
-1   13     110
-1   14      80
-1   15      80
-1   16      80
-1   17      80
-1   18      80
-1   19      80
-1   20      80
-2    1      80
-2    2      80
-2    3      80
-2    4      80
-2    5      80
-2    6    -999
-2    7      80
-2    8    -999
-2    9    -999
-2   10      80
-2   11      75
-2   12    -999
-2   13      80
-2   14      80
-2   15      75
-2   16      80
-2   17      80
-2   18      80
-2   19      80
-2   20    -999
-3    1      90
-3    2      90
-3    3      80
-3    4      90
-3    5      80
-3    6      80
-3    7    -999
-3    8      80
-3    9      80
-3   10    -999
-3   11      80
-3   12      80
-3   13      80
-3   14      80
-3   15      80
-3   16      80
-3   17    -999
-3   18      80
-3   19      80
-3   20      80
-4    1    -999
-4    2    -999
-4    3      80
-4    4      80
-4    5      80
-4    6    -999
-4    7    -999
-4    8      80
-4    9      90
-4   10      90
-4   11      80
-4   12      80
-4   13      80
-4   14      80
-4   15      80
-4   16      80
-4   17      80
-4   18    -999
-4   19      80
-4   20      80
-4   21      80
-4   22      80
-4   23      80
-4   24      80
-4   25      90
-4   26      80
-5    1      45
-5    2      90
-5    3      45
-5    4      45
-5    5      85
-5    6      50
-5    7      50
-5    8      45
-5    9      50
-5   10    -999
-5   11      45
-5   12      45
-5   13      85
-5   14      50
-5   15      45
-5   16      45
-5   17      50
-5   18      50
-5   19      45
-5   20      45
-5   21      45
-5   22      45
-5   23      50
-5   24      50
-5   25      45
-5   26      50
-5   27      75
-5   28      85
-5   29      80
-5   30      80
-5   31      50
-5   32      85
-5   33      95
-5   34      50
-5   35     145
-5   36     145
-6    1      50
-6    2      50
-6    3      50
-6    4      50
-6    5      55
-6    6      90
-6    7      50
-6    8      95
-6    9      50
-6   10      50
-6   11      55
-6   12      55
-6   13      50
-6   14      50
-6   15      50
-6   16      55
-6   17      55
-6   18      55
-6   19      50
-6   20      50
-6   21      55
-6   22      55
-6   23      50
-6   24      50
-6   25     145
-6   26     150
-6   27     150
-6   28     150
-6   29     150
-6   30     145
-6   31      55
-6   32      55
