-1    1     134
-1    2     134
-1    3    -999
-1    4      97
-1    5      97
-1    6      97
-1    7      97
-1    8    -999
-1    9      97
-1   10      97
-1   11      97
-1   12      97
-1   13     134
-1   14      97
-1   15      97
-1   16      97
-1   17      97
-1   18      97
-1   19      97
-1   20      97
-2    1      97
-2    2      97
-2    3      97
-2    4      97
-2    5      97
-2    6    -999
-2    7      97
-2    8    -999
-2    9    -999
-2   10      97
-2   11      91
-2   12    -999
-2   13      97
-2   14      97
-2   15      91
-2   16      97
-2   17      97
-2   18      97
-2   19      97
-2   20    -999
-3    1     109
-3    2     109
-3    3      97
-3    4     109
-3    5      97
-3    6      97
-3    7    -999
-3    8      97
-3    9      97
-3   10    -999
-3   11      97
-3   12      97
-3   13      97
-3   14      97
-3   15      97
-3   16      97
-3   17    -999
-3   18      97
-3   19      97
-3   20      97
-4    1    -999
-4    2    -999
-4    3      97
-4    4      97
-4    5      97
-4    6    -999
-4    7    -999
-4    8      97
-4    9     109
-4   10     109
-4   11      97
-4   12      97
-4   13      97
-4   14      97
-4   15      97
-4   16      97
-4   17      97
-4   18    -999
-4   19      97
-4   20      97
-4   21      97
-4   22      97
-4   23      97
-4   24      97
-4   25     109
-4   26      97
-5    1      54
-5    2     109
-5    3      54
-5    4      54
-5    5     103
-5    6      61
-5    7      61
-5    8      54
-5    9      61
-5   10    -999
-5   11      54
-5   12      54
-5   13     103
-5   14      61
-5   15      54
-5   16      54
-5   17      61
-5   18      61
-5   19      54
-5   20      54
-5   21      54
-5   22      54
-5   23      61
-5   24      61
-5   25      54
-5   26      61
-5   27      91
-5   28     103
-5   29      97
-5   30      97
-5   31      61
-5   32     103
-5   33     115
-5   34      61
-5   35     176
-5   36     176
-6    1      61
-6    2      61
-6    3      61
-6    4      61
-6    5      67
-6    6     109
-6    7      61
-6    8     115
-6    9      61
-6   10      61
-6   11      67
-6   12      67
-6   13      61
-6   14      61
-6   15      61
-6   16      67
-6   17      67
-6   18      67
-6   19      61
-6   20      61
-6   21      67
-6   22      67
-6   23      61
-6   24      61
-6   25     176
-6   26     183
-6   27     183
-6   28     183
-6   29     183
-6   30     176
-6   31      67
-6   32      67
-6   33      61
-6   34      61
-6   35      61
-6   36      61
-7    1      73
-7    2      73
-7    3      73
-7    4      73
-7    5      73
-7    6      73
-7    7      73
-7    8      67
-7    9      73
-7   10      73
-7   11      73
-7   12      73
-7   13      73
-7   14      73
-7   15      73
-7   16      73
-7   17    -999
-7   18      61
-7   19      67
-7   20      61
-7   21      61
-7   22      61
-7   23      67
-7   24      61
-7   25      61
-7   26      61
-7   27      67
-7   28    -999
-7   29      54
-7   30      61
-7   31      67
-7   32      67
-7   33      61
-7   34      61
-7   35      61
-7   36      67
-8    1    -999
-8    2      61
-8    3    -999
-8    4      54
-8    5    -999
-8    6      54
-8    7      61
-8    8      61
-8    9      54
-8   10      61
-8   11      61
-8   12      54
-8   13      61
-8   14      61
-8   15      54
-8   16      54
-8   17      54
-8   18      61
