-12 14  124
-12 15  43
-12 16  46
-12 17  124
-12 18  40
-12 19  41
-12 20  124
-12 21  124
-12 22  124
-12 23  37
-12 24  100
-12 25  60
-12 26  42
-12 27  41
-12 28  41
-12 29  42
-12 30  41
-12 31  42
-12 32  124
-12 33  124
-12 34  42
-12 35  40
-12 36  37
-12 37  42
-12 38  42
-12 39  40
-12 40  41
-12 41  82
-12 42  124
-13 1 -99999
-13 2  124
-13 3  124
-13 4  124
-13 5  124
-13 6  42
-13 7  42
-13 8  42
-13 9  40
-13 10  124
-13 11  41
-13 12  40
-13 13  41
-13 14  60
-13 15  60
-13 16  46
-13 17  43
-13 18  45
-13 19  42
-13 20  60
-13 21  43
-13 22  124
-13 23  124
-13 24  124
-13 25  43
-13 26  124
-13 27  124
-13 28  43
-13 29  100
-13 30  -99999
-13 31  124
-13 32  -99999
-13 33  124
-13 34  39
-13 35  124
-13 36  39
-13 37  37
-13 38  124
-13 39  124
-13 40  43
-13 41  124
-13 42  100
-14 1  39
-14 2  172
-14 3  40
-14 4  39
-14 5  40
-14 6  41
-14 7  37
-14 8  40
-14 9  41
-14 10 50
-14 11  42
-14 12  40
-14 13  40 
-14 14  169
-14 15  42
-14 16  165
-14 17  41
-14 18  170
-14 19  43
-14 20  41
-14 21  50
-14 22  42
-14 23  50
-14 24  41
-14 25  170
-14 26  43
-14 27  50
-14 28  165
-14 29  168
-14 30  45
-14 31  42
-14 32  42
-14 33  42
-14 34  45
-14 35  269
-14 36  41
-14 37  269
-14 38  42
-14 39  42
-14 40  41
-14 41  43
-14 42  45
-15 1  41
-15 2  169
-15 3  41
-15 4  42
-15 5  39
-15 6  169
-15 7  165
-15 8  41
-15 9  42
-15 10  172
-15 11  41
-15 12  40
-15 13  200
-15 14  63
-15 15  69
-15 16  51
-15 17  41
-15 18  222
-15 19  167
-15 20  41
-15 21  41
-15 22  41
-15 23  57
-15 24  200
-15 25  40
-15 26  53
-15 27  45
-15 28  170
-15 29  58
-15 30  40
-15 31  42
-15 32  39
-15 33  50
-15 34  41
-15 35  50
-15 36  39
-15 37  39
-15 38  41
-15 39  -99999
-15 40  50
-15 41  40
-15 42  40
-16 1  41
-16 2  42
-16 3  170
-16 4  40
-16 5  40
-16 6  50
-16 7  45
-16 8  41
-16 9  42
-16 10  164
-16 11  42
-16 12  50
-16 13  50
-16 14  172
-16 15  41
-16 16  164
-16 17  50
-16 18  41
-16 19  184
-16 20  179
-16 21  176
-16 22  50
-16 23  42
-16 24  50
-16 25  50
-16 26  43
-16 27  43
-16 28  39
-16 29  42
-16 30  42
-16 31 -99999
-16 32  41
-16 33  53
-16 34  43
-16 35  42
-16 36  42
-16 37  40
-16 38  45
-16 39  43
-16 40  43
-16 41  43
-16 42  43
-18 1  50
-18 2  50
-18 3  40
-18 4  39
-18 5  50
-18 6  41
-18 7  41
-18 8 -99999
-18 9  43
-18 10  45
-18 11  50
-18 12  43
-18 13  40
-18 14  50
-18 15  41
-18 16  42
-18 17  45
-18 18  45
-18 19  50
-18 20  43
-18 21  42
-18 22  43
-18 23  45
-18 24  50
-18 25  47
-18 26  45
-18 27  46
-18 28  46
-18 29  43
-18 30  43
-18 31  46
-18 32  45
-18 33  40
-18 34  41
-18 35  42
-18 36  50
-18 37  42
-18 38  41
-18 39  42 
-18 40  42 
-18 41  40
-18 42  41
-19 1  164
-19 2  37
-19 3  39
-19 4  164
-19 5  41
-19 6  39
-19 7  41
-19 8  40
-19 9  40
-19 10  40
-19 11  40
-19 12  169
-19 13  41
-19 14  169
-19 15  40
-19 16  41
-19 17  42
-19 18  46
-19 19  46
-19 20  190
-19 21  46
-19 22  45
-19 23  46
-19 24  46
-19 25  47
-19 26  45
-19 27  45
-19 28  43
-19 29  54
-19 30  50
-19 31  56
-19 32  50
-19 33  48
-19 34  41
-19 35  46
-19 36  50
-19 37  50
-19 38  50
-19 39  50
-19 40  40
-19 41  157
-19 42 -99999
