-1 1  100
-1 2  100
-1 3  -99999
-1 4  100
-1 5  100
-1 6  100
-1 7  100
-1 8  100
-1 9  100
-1 10  101
-1 11  100
-1 12  100
-1 13  100
-1 14  100
-1 15  102
-1 16  100
-1 17  100
-1 18  100
-1 19  100
-1 20  100
-2 1  100
-2 2  100
-2 3  100
-2 4  100
-2 5  100
-2 6  85
-2 7  100
-2 8  -99999
-2 9  102
-2 10  100
-2 11  100
-2 12  100
-2 13  100
-2 14  100
-2 15  102
-2 16  100
-2 17  100
-2 18  100
-2 19  100
-2 20  -99999
-3 1  100
-3 2  100
-3 3  100
-3 4  100
-3 5  100
-3 6  100
-3 7  100
-3 8  100
-3 9  100
-3 10  100
-3 11  100
-3 12  100
-3 13  100
-3 14  100
-3 15  100
-3 16  100
-3 17  100
-3 18  100
-3 19  100
-3 20  100
-4 1  100
-4 2  100
-4 3  100
-4 4  100
-4 5  100
-4 6  100
-4 7  100
-4 8  100
-4 9  100
-4 10  100
-4 11  100
-4 12  100
-4 13  100
-4 14  100
-4 15  100
-4 16  100
-4 17  100
-4 18  100
-4 19  100
-4 20  101
-4 21  100
-4 22  100
-4 23  100
-4 24  100
-4 25  100
-4 26  100
-5 1  111
-5 2  114
-5 3  113
-5 4  113
-5 5  114
-5 6  115
-5 7  114
-5 8  140
-5 9  112
-5 10  140
-5 11  119
-5 12  115
-5 13  109
-5 14  114
-5 15  109
-5 16  111
-5 17  107
-5 18  107
-5 19  103
-5 20  103
-5 21  107
-5 22  106
-5 23  107
-5 24  107
-5 25  108
-5 26  108
-5 27  107
-5 28  109
-5 29  104
-5 30  106
-5 31  112
-5 32  107
-5 33  120
-5 34  120
-5 35  185
-5 36  185
-6 1  120
-6 2  125
-6 3  123
-6 4  115
-6 5  119
-6 6  117
-6 7  119
-6 8  119
-6 9  124
-6 10  124
-6 11  122
-6 12  122
-6 13  124
-6 14  123
-6 15  123
-6 16  123
-6 17  123
-6 18  119
-6 19  119
-6 20  120
-6 21  135
-6 22  130
-6 23  124
-6 24  122
-6 25  185
-6 26  185
